StartDate,Classique_TotalValue,Garantie_TotalValue,Garantie_Employee
1990-01-01,192.162631567891,164.241565442642,196.886356985131
1991-01-01,235.890397751308,201.615724573768,207.902491799866
1992-01-01,323.607770238948,276.587837811067,444.077097210808
1993-01-01,348.258706660101,297.657014239402,377.734971478408
1994-01-01,375.504022153539,320.943608678239,262.401016267244
1995-01-01,460.803186245951,393.848877133291,471.786084120624
1996-01-01,404.078286417506,345.366056767099,485.680817979912
1997-01-01,245.277015496575,209.638474783397,580.213801645547
1998-01-01,100.167655780695,85.6133810091411,343.811613348148
1999-01-01,85.6619204253402,73.2153166028549,125.109952801126
2000-01-01,88.5067883382915,75.6468276395654,116.161678155527
2001-01-01,135.051010878905,115.428214426415,116.161678155527
2002-01-01,279.975930371171,239.295666983907,120.715872842233
2003-01-01,434.183660092362,371.097145378087,409.767773421276
2004-01-01,220.36420599701,188.34547521112,265.855751240258
2005-01-01,205.3625186576,175.523520220171,233.991674175919
2006-01-01,95.2075495331112,81.3739739599242,116.161678155527
2007-01-01,61.2531891884074,52.353153152485,116.161678155527
2008-01-01,96.6384853342135,82.5969960121483,116.161678155527
2009-01-01,196.910181930079,168.299300794939,116.161678155527
2010-01-01,183.102282764157,156.497677576203,116.161678155527
2011-01-01,319.183068447213,272.806041407875,231.336407266766
2012-01-01,375.474464336135,320.91834558644,400.506468341447
2013-01-01,284.578847178291,243.229783913069,297.696898173236
2014-01-01,149.867734988892,128.092081187087,145.16799045732
2015-01-01,209.087171602309,178.706984275477,173.033170963717
2016-01-01,127.702519213818,109.147452319502,116.161678155527
2017-01-01,175.841600883971,150.291966567497,116.161678155527
2018-01-01,174.632657124894,149.258681303328,116.161678155527
2019-01-01,261.953060117744,223.89150437414,206.266830149465
2020-01-01,222.891679021198,190.505708565126,134.770213552399
